貼文時間,貼文ID,貼文內容,分享內容,讚數,分享數
2018-04-13 12:39:00+00:00,136845026417486_1294363230665654,"市議會開議了，每一次的施政報告前我們都再三彩排，就是希望大家可以從這份簡報中，感受到市府同仁們的努力和改變這座城市的決心。

去年到今年這段期間，我們做了這些努力：

✔︎完成8橫8縱，16條幹線公車路網
✔︎推出30天1280元吃到飽的公共運輸定期票
✔︎敬老卡擴大使用於捷運、YouBike、雙層觀光巴士
✔︎老人可免費接種肺炎鏈球菌疫苗
✔︎延宕30年的斯文里三期整宅公辦都更案開工（5月）
✔︎延宕20年的第一果菜及漁市場改建案開工 
✔︎延宕10年的廣慈博愛園區開發案開工
✔︎內科之心產業支援設施BOT案開工
✔︎改造中山雙連線型公園、中山地下書街重新開幕
✔︎完成4處創新產業聚落
✔︎完成花博公園等27座共融式遊戲場
✔︎開辦2所雙語小學、2所實驗教育學校
✔︎包租代管、分級租金補貼等多元住宅政策正式上線
✔︎4年內減債超過520億元，總債務降到低於千億元

完成的事情其實不只這些，但篇幅有限，無法全部列舉。

我常說，要保持進取的精神，戰略上永遠向前跨一步。如果沒有公務員不斷追求進步，就無法實現光榮城市的目標，所以謝謝你們，也感謝每一位市民朋友給我們的鞭策，讓市政更加周全。

讓我們繼續努力、加油。

#進步價值光榮城市",,4870,267
2018-04-12 10:46:46+00:00,136845026417486_1293479487420695,"【讓北車不再是地下迷宮】

臺北車站在幾十年前改建時缺乏整體規劃，後來又連結了北捷、機捷、轉運站跟地下街，最後變成「地下迷宮」，複雜的動線不只是外地人困擾，臺北人也不一定清楚。

我們嘗試用新科技來解決這個地下迷宮的問題，經過幾個月的開發，我們和亞旭電腦合作推出了「台北車站通」App，最近在iOS和Android系統全面上線。

下載之後，你可以在站內定位、導航到車站範圍內的任何地點，到了樓梯口還會貼心提醒你要上下樓。此外，在北車內找車位、找餐廳、找商店、找廁所、找逃生出口，要找哪個地方，都可以使用這個App。

我常說，政府的力量有限，民間的力量無窮，過去這種App如果是政府自己設計自己做，通常結局很慘，所以我們改變策略，讓業界提案，由政府「購買」服務，比較符合市場需求，人民也比較有感，這次的車站智慧化App就是一個例子。

智慧城市不是喊喊口號而已，臺北車站每天有50幾萬人進出，透過這個App，每個人進出更方便，整個城市也會更有效率。

#智慧城市
#台北車站通App
#進步價值光榮城市

---
現在就下載「台北車站通」App，讓北車不再是迷宮
iOS：http://pse.ee/5QT2J
Android：http://pse.ee/5QSZA",,29071,2238
2018-04-11 04:26:42+00:00,136845026417486_1292699814165329,"今天的便當會，一樣粗菜便飯跟教育局曾燦金局長一起聊市政，但多了吳鳳 Rifat來踢館。

我準備好了，十二點半準時開飯。

#柯Ｐ便當會
#吳鳳來踢館
#雙語教育
#國際化教育
臺北市教育局",柯文哲 was live.,8690,252
2018-04-10 05:09:12+00:00,136845026417486_1291624514272859,"當市長第一年時，我開玩笑說，我一年就把別人二十年可以犯的錯誤都犯完了。
　
雖然有點誇大，但嚴肅來說，很多問題還是需要被修正改進，所以我把在醫學上的RCA（root cause analysis, 根本原因分析）制度引進政治，出現問題時，不先針對個人咎責，而是分析是哪些原因導致這些問題發生，如何解決，以及避免以後再發生。
　
臺北市政府一直是媒體用電子顯微鏡關注的地方，其他縣市政府面對負面新聞，可能會想辦法處理掉新聞，但我們成立了解碼小組（decoding system），分析每一則負面新聞的前因後果，找出根本解決方法，再追蹤列管相關單位。要解決問題，而不是解決新聞。
　
幾年下來，市政漏洞越來越少，雖然偶爾還是會犯錯，但我們出錯不是先懲罰任何一個人，而是鼓勵大家修正改進。臺北市政府會建立一個允許失敗的環境，而不是搞得公務員不敢犯錯，最後乾脆不做不錯。
　
反省改進是一種文化，堅信這個理念，然後相信自己相信的東西，不管外界怎麼攻擊、怎麼抹黑抹紅，都不會動搖心志。
　
這正是我說的：「面對挫折打擊不是最困難的，最困難的是面對各種挫折打擊，沒有失去對人世間的熱情。」
　
#解碼小組
#進步價值光榮城市",,64793,2955
2018-04-09 11:26:35+00:00,136845026417486_1291000111001966,"重振技職教育是我們努力的重要目標。

以前，線上學習的臺北酷課雲系統只有一般傳統的學科，現在，我們把高職的美容美髮、汽車修護、生活家電、園藝等科目也拍成線上課程，同學們上網就可以接觸技職教育，這也代表我們對技職教育的重視。

我認為技職教育應該要比照日本的達人文化，把一件事情很專注的做到最好。就像葉克膜只是醫學上一個小領域，但當我們可以做到全世界最頂尖的時候，就是一項成就。

這就是a的n次方理念，只要a大於1，a的n次方就會無限大。只要每位職人都在自己的專業領域上盡力做到最好，合起來就能讓國家更強大。

#職人十堂
#臺北酷課雲
#進步價值光榮城市
臺北市教育局",,7298,139
2018-04-09 02:10:41+00:00,136845026417486_1290709284364382,"要給年輕人機會，所以頭髮留這麼長，乾脆就讓他們剪一剪。

#職人十堂技職教育系列活動
臺北市教育局
稻江護家",柯文哲 was live.,11485,215
2018-04-08 12:09:48+00:00,136845026417486_1290105764424734,"「社團，就是燃燒青春的地方。」

昨天，我用一個阿北的身份參加 2018 HUG Season 全國大學嘉年華，看看大學生都在社團玩些什麼。繞了一圈之後，我發現不管是街舞、魔術、桌遊、電競、滑板，只要放手讓他們去做，這些年輕人都有無限的創意，把這些東西玩得很頂尖。

就我的經驗，學校教的知識可能幾年後就沒用了，因為知識會隨著時代不斷演進，可是這些不在正規課程中獲得的人生經驗和人際關係，尤其是學校社團，反而一輩子受用。

作為市長，我很願意支持年輕人在他們的專業領域上發光發熱，也會盡量給他們機會發揮創意，不管是世大運還是臺北燈節，甚至是每年的捷運盃街舞大賽，都是年輕力量的展現。要讓新生代帶領我們，看見更多新的視野與想像。

HUG Season",柯文哲 added 5 new photos.,12882,282
2018-04-07 10:09:36+00:00,136845026417486_1289184261183551,"老濟安青草藥舖是艋舺的老店，兩年前我第一次來訪，燈光蒼白單調，靠在斑駁的牆壁是生銹的鐵架，擺滿裝草藥的鐵桶，靠著一些老顧客在維持生意。

青草茶是臺灣的生活文化，也是艋舺的特色產業，但沒有好的包裝行銷，再好的東西也只能萎縮在社會的角落，所以我要求商業處將老濟安納入老店改造計畫。

去年十月，老濟安重新開張，以吧臺設計拉近和顧客的距離，暖色調的燈光取代了過去冰冷的日光燈，青草也不再裝在塑膠袋秤斤賣，而是有商標的包裝盒，有方便泡用的茶包。在商業處的輔導之下，第三代接班人用新的創意，讓這家老店重生。

這幾年去國外參訪，看到了很多當地特色產業的呈現方式，回到國內，我們也要藉由重新裝潢、包裝、行銷，讓傳統和現代對話，尋找彼此契合的模式，來延續在地產業的生命力。

目前，萬華一帶已經有32家老店投入改造計畫，我們會繼續努力，為臺北市的觀光加值，也讓臺北成為一個優雅的城市。

#老店改造計畫
#城市博物館
#進步價值光榮城市",柯文哲 is at 老濟安 Healing Herbar.,12287,276
2018-04-06 08:38:03+00:00,136845026417486_1288159511286026,"【長輩來共餐，食安掛保證】

再過3年，臺北市大於65歲以上的人口就會超過20%，高齡化加上少子化，照護人力會越來越吃緊。這就是為什麼我們要推動「老人共餐」，用老人照顧老人的方式解決問題。

老人共餐不只是吃飯而已，我們還找來體育局教大家健康操；找來衛生局接種肺炎鏈球菌疫苗、衛教、癌症篩檢；找來資訊局做了一臺「數位希望號」胖卡，教長輩如何傳Line用FB。

我們把市府各局處資源整合，除了吃飯以外，還有運動、唱歌、才藝、3C教學、接種疫苗等等附加活動，讓老人更有誘因走出家門。相互扶持，才能活得更健康、更快樂。

老人共餐的食材與衛生，也是我們關切的重點。目前的共餐據點，自設廚房佔4成，自助餐、便當或中央廚房供應佔6成。我們有專家學者組成的團隊，實地進行衛生輔導，最後再經過衛生局抽查監督，兩階段的把關，就是要確保食安。

世大運期間，衛生局黃世傑局長把關食品安全，讓1萬2千個選手隊職員都健健康康的完成比賽，相信有世大運的經驗，老人共餐據點也可以做得到。

我們要向長輩們保證，「共餐據點比在外面吃得更健康、更安全！」

#老人共餐
#食品安全
#進步價值光榮城市

---
點這裡，可以找到離家最近的共餐據點
https://tinyurl.com/y7ydbeun",,10024,382
2018-04-05 08:29:03+00:00,136845026417486_1287300364705274,"清明連假天氣好，臺北市最近多了很多新鮮的地方，值得大家出來逛一逛，重點是，搭公車捷運都很方便。

點開照片，我來帶大家一起導覽，歡迎大家相揪一起出門走走。",柯文哲 added 4 new photos.,16218,196
